npm;cargo;Go;maven;pypi;rubygems
20;467;1147;111;361;595
20;466;1139;111;360;595
20;465;1137;109;359;594
20;463;1135;109;358;592
19;462;1134;105;358;591
19;461;1127;104;358;591
19;461;1111;98;357;590
19;458;1109;96;357;589
19;456;1108;94;353;588
19;455;1104;93;352;583
19;454;1087;92;352;583
19;453;1086;92;352;583
19;452;1077;91;352;580
19;451;1072;91;351;580
19;448;1070;91;351;579
19;448;1067;91;348;577
19;448;1059;89;347;576
19;444;1056;87;345;575
19;441;1054;87;345;574
19;437;1052;86;344;574
19;437;1048;85;344;571
18;437;1046;83;342;569
18;436;1042;83;342;568
18;433;1041;82;340;566
18;432;1039;82;340;566
18;432;1035;82;339;566
18;424;1032;80;338;565
18;424;1030;79;337;561
18;423;1030;78;337;560
18;422;1029;78;333;560
18;420;1028;76;332;558
18;419;1019;75;330;558
18;417;1019;75;330;557
18;414;1015;73;329;556
17;411;1013;73;324;555
17;410;1001;72;323;553
17;410;995;72;323;552
17;410;993;72;321;552
17;410;990;72;319;549
17;409;990;70;319;549
17;407;974;69;319;549
17;406;971;68;318;548
17;405;969;67;318;548
17;399;959;67;317;548
17;398;957;67;317;546
16;398;956;65;317;544
16;398;950;65;316;543
16;398;950;65;316;543
16;397;941;64;315;541
16;396;930;62;314;541
16;396;929;62;313;536
16;395;929;62;309;534
16;394;926;61;308;533
16;393;925;60;307;533
16;392;921;60;305;532
16;391;920;60;304;531
16;391;918;58;304;526
16;390;917;58;303;525
16;390;917;57;302;524
16;390;915;56;300;524
16;390;913;55;300;524
15;390;911;55;300;523
15;389;911;52;299;522
15;389;911;52;298;522
15;387;910;50;298;521
15;387;903;50;298;520
15;386;903;50;297;520
15;385;900;49;294;520
15;384;900;49;294;518
15;384;900;49;293;518
15;384;899;49;292;517
15;381;895;48;292;517
14;380;895;48;291;517
14;377;890;48;291;515
14;375;889;48;290;514
14;375;887;47;289;514
14;375;877;47;288;511
14;375;875;47;287;510
14;375;872;46;285;507
14;374;870;46;282;507
14;374;870;46;281;502
14;374;869;46;281;501
14;373;868;46;280;500
14;373;864;45;280;500
14;373;862;44;280;499
14;371;855;44;280;497
14;370;855;44;279;495
14;370;848;43;279;493
13;368;846;42;278;492
13;367;844;42;278;490
13;365;843;41;277;488
13;364;842;41;277;485
13;364;839;40;274;484
13;364;839;40;274;482
13;363;835;39;274;482
13;362;834;39;274;482
13;361;832;39;271;480
13;361;831;39;270;480
13;361;830;38;270;480
13;361;829;38;268;479
13;359;828;38;268;479
12;359;828;38;268;478
12;358;826;38;267;477
12;357;820;38;267;477
12;355;817;38;266;476
12;354;813;37;265;476
12;354;811;35;265;475
12;351;808;35;264;475
12;350;807;35;264;475
12;350;806;35;264;474
12;348;801;35;263;472
12;346;796;34;261;470
12;346;796;34;261;469
12;344;795;33;260;467
12;343;789;33;259;465
12;343;786;33;259;464
12;341;780;32;257;463
12;341;769;32;257;463
12;341;769;31;257;463
12;341;767;30;256;460
12;339;765;29;256;458
12;338;764;29;256;458
12;335;764;28;255;457
12;335;763;28;255;454
12;335;762;27;255;452
12;334;757;27;255;451
12;333;755;27;255;451
12;333;754;26;255;448
12;332;754;26;254;447
12;328;751;26;252;446
12;327;751;26;251;446
11;327;750;26;251;446
